# lat,lon,tnum,Layer_1_depth,Layer_2_depth,Layer_3_depth,Layer_4_depth,Layer_5_depth,Layer_6_depth
7.808042514233359555e+01,6.830386283981796680e+01,3.700000000000000000e+01,6.841119999999999663e+02,4.414279999999999973e+02,2.622880000000000109e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808040415990110716e+01,6.830394318784581742e+01,3.800000000000000000e+01,6.834360000000000355e+02,4.400759999999999650e+02,2.622880000000000109e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808037812152434753e+01,6.830396598603282143e+01,3.900000000000000000e+01,6.834360000000000355e+02,4.400759999999999650e+02,2.622880000000000109e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808035282633325380e+01,6.830400439487738140e+01,4.000000000000000000e+01,6.834360000000000355e+02,4.400759999999999650e+02,2.622880000000000109e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808033197670162906e+01,6.830408624713371069e+01,4.100000000000000000e+01,6.834360000000000355e+02,4.407519999999999527e+02,2.622880000000000109e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808031068907507688e+01,6.830416564523252987e+01,4.200000000000000000e+01,6.834360000000000355e+02,4.407519999999999527e+02,2.622880000000000109e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808028696696101179e+01,6.830421918818345262e+01,4.300000000000000000e+01,6.827599999999999909e+02,4.407519999999999527e+02,2.622880000000000109e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808026211569631414e+01,6.830426356711930680e+01,4.400000000000000000e+01,6.827599999999999909e+02,4.407519999999999527e+02,2.622880000000000109e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808023832129948971e+01,6.830432372310723110e+01,4.500000000000000000e+01,6.827599999999999909e+02,4.427799999999999727e+02,2.622880000000000109e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808021505271163676e+01,6.830438621602739602e+01,4.600000000000000000e+01,6.827599999999999909e+02,4.400759999999999650e+02,2.622880000000000109e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808019502495895381e+01,6.830447300295566038e+01,4.700000000000000000e+01,6.827599999999999909e+02,4.400759999999999650e+02,2.622880000000000109e+02,1.433119999999999834e+02,4.529199999999999449e+01,nan
7.808017318249868310e+01,6.830454848542972002e+01,4.800000000000000000e+01,6.820840000000000600e+02,4.427799999999999727e+02,2.622880000000000109e+02,1.433119999999999834e+02,4.529199999999999449e+01,nan
7.808014951199695020e+01,6.830460667175400147e+01,4.900000000000000000e+01,6.820840000000000600e+02,4.421039999999999850e+02,2.622880000000000109e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808012588896632167e+01,6.830466034909521511e+01,5.000000000000000000e+01,6.820840000000000600e+02,4.400759999999999650e+02,2.629639999999999986e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808010668706369017e+01,6.830475140327867223e+01,5.100000000000000000e+01,6.814080000000000155e+02,4.400759999999999650e+02,2.636399999999999864e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808008779209856698e+01,6.830484394931764314e+01,5.200000000000000000e+01,6.814080000000000155e+02,4.400759999999999650e+02,2.643159999999999741e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808006854126060148e+01,6.830493473980858710e+01,5.300000000000000000e+01,6.814080000000000155e+02,4.400759999999999650e+02,2.643159999999999741e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808004906655445154e+01,6.830502442595539492e+01,5.400000000000000000e+01,6.814080000000000155e+02,4.400759999999999650e+02,2.643159999999999741e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808002722474105894e+01,6.830510024447490025e+01,5.500000000000000000e+01,6.807320000000000846e+02,4.400759999999999650e+02,2.643159999999999741e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808000621814770170e+01,6.830518123369651562e+01,5.600000000000000000e+01,6.807320000000000846e+02,4.400759999999999650e+02,2.643159999999999741e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.807998661784372985e+01,6.830526977022182678e+01,5.700000000000000000e+01,6.807320000000000846e+02,4.400759999999999650e+02,2.636399999999999864e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.807996940266816921e+01,6.830536969831064198e+01,5.800000000000000000e+01,6.807320000000000846e+02,4.400759999999999650e+02,2.629639999999999986e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.807995187961699912e+01,6.830546826610274991e+01,5.900000000000000000e+01,6.807320000000000846e+02,4.393999999999999773e+02,2.622880000000000109e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.807993288538030185e+01,6.830556033370864100e+01,6.000000000000000000e+01,6.807320000000000846e+02,4.393999999999999773e+02,2.622880000000000109e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.807991348321114344e+01,6.830565037490062252e+01,6.100000000000000000e+01,6.807320000000000846e+02,4.393999999999999773e+02,2.622880000000000109e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
