# lat,lon,tnum,Layer_1_depth,Layer_2_depth
7.802104954621295008e+01,6.868033447349704090e+01,6.000000000000000000e+01,5.685159999999999627e+02,nan
7.802106969232131917e+01,6.868024892399891712e+01,6.100000000000000000e+01,5.691920000000000073e+02,nan
7.802108885381370840e+01,6.868015812797274577e+01,6.200000000000000000e+01,5.691920000000000073e+02,nan
7.802110690374263413e+01,6.868006217835051075e+01,6.300000000000000000e+01,5.698679999999999382e+02,nan
7.802112296975838035e+01,6.867995876050149207e+01,6.400000000000000000e+01,5.698679999999999382e+02,nan
7.802113832958121975e+01,6.867985266183002580e+01,6.500000000000000000e+01,5.698679999999999382e+02,nan
7.802115608224882237e+01,6.867975543364381963e+01,6.600000000000000000e+01,5.705439999999999827e+02,nan
7.802117288849917998e+01,6.867965444455718682e+01,6.700000000000000000e+01,5.705439999999999827e+02,nan
7.802118827834577530e+01,6.867954876283020837e+01,6.800000000000000000e+01,5.712200000000000273e+02,nan
7.802120072209646651e+01,6.867943399037240226e+01,6.900000000000000000e+01,5.712200000000000273e+02,nan
7.802121319573610947e+01,6.867931929309226291e+01,7.000000000000000000e+01,5.712200000000000273e+02,nan
7.802122501689325418e+01,6.867920303517760772e+01,7.100000000000000000e+01,5.718959999999999582e+02,nan
7.802123669332314648e+01,6.867908644280400665e+01,7.200000000000000000e+01,5.718959999999999582e+02,nan
7.802124955435859022e+01,6.867897274214546144e+01,7.300000000000000000e+01,5.725720000000000027e+02,nan
7.802126406541624704e+01,6.867886391269549051e+01,7.400000000000000000e+01,5.725720000000000027e+02,nan
7.802127927140777786e+01,6.867875713783510605e+01,7.500000000000000000e+01,5.725720000000000027e+02,nan
7.802129410184929270e+01,6.867864941678968194e+01,7.600000000000000000e+01,5.732479999999999336e+02,nan
7.802130449087007946e+01,6.867852999552044935e+01,7.700000000000000000e+01,5.732479999999999336e+02,nan
7.802131311969586136e+01,6.867840769058979333e+01,7.800000000000000000e+01,5.739239999999999782e+02,nan
7.802131964221662486e+01,6.867828219253379984e+01,7.900000000000000000e+01,5.739239999999999782e+02,nan
7.802132282587746204e+01,6.867815362161488224e+01,8.000000000000000000e+01,5.739239999999999782e+02,nan
7.802132773612311212e+01,6.867802641797898389e+01,8.100000000000000000e+01,5.746000000000000227e+02,nan
7.802133614574565001e+01,6.867790383441735003e+01,8.200000000000000000e+01,5.746000000000000227e+02,nan
7.802134505405882692e+01,6.867778180119182707e+01,8.300000000000000000e+01,5.752759999999999536e+02,nan
7.802135248930368050e+01,6.867765737018257255e+01,8.400000000000000000e+01,5.752759999999999536e+02,nan
7.802135939249062346e+01,6.867753223516150740e+01,8.500000000000000000e+01,5.752759999999999536e+02,nan
7.802136619888310065e+01,6.867740697211068834e+01,8.600000000000000000e+01,5.759519999999999982e+02,nan
7.802137378027265413e+01,6.867728274562759339e+01,8.700000000000000000e+01,5.759519999999999982e+02,nan
7.802138043459331129e+01,6.867715738988920293e+01,8.800000000000000000e+01,5.759519999999999982e+02,nan
7.802138613458251371e+01,6.867703086880830199e+01,8.900000000000000000e+01,5.766279999999999291e+02,nan
7.802139345426287775e+01,6.867690627850426210e+01,9.000000000000000000e+01,5.766279999999999291e+02,nan
7.802139893322954833e+01,6.867677961705675216e+01,9.100000000000000000e+01,5.773039999999999736e+02,nan
7.802140920004285363e+01,6.867665994977380706e+01,9.200000000000000000e+01,5.773039999999999736e+02,nan
7.802141966147846119e+01,6.867654074380644147e+01,9.300000000000000000e+01,5.779800000000000182e+02,nan
7.802143308232317054e+01,6.867642855256217160e+01,9.400000000000000000e+01,5.779800000000000182e+02,nan
7.802144634141065183e+01,6.867631593409213053e+01,9.500000000000000000e+01,5.786559999999999491e+02,nan
7.802145876175585215e+01,6.867620110037417192e+01,9.600000000000000000e+01,5.786559999999999491e+02,nan
7.802147080698641446e+01,6.867608535343440224e+01,9.700000000000000000e+01,5.786559999999999491e+02,nan
7.802148258495846278e+01,6.867596896675870255e+01,9.800000000000000000e+01,5.793319999999999936e+02,nan
7.802149317676764895e+01,6.867584995766679867e+01,9.900000000000000000e+01,5.793319999999999936e+02,nan
7.802150178424085425e+01,6.867572752844355932e+01,1.000000000000000000e+02,5.793319999999999936e+02,nan
7.802150973034514436e+01,6.867560385858116945e+01,1.010000000000000000e+02,5.800079999999999245e+02,nan
7.802151826867047646e+01,6.867548107962454651e+01,1.020000000000000000e+02,5.800079999999999245e+02,nan
7.802152352222734066e+01,6.867535421578173782e+01,1.030000000000000000e+02,5.800079999999999245e+02,nan
7.802152933651569811e+01,6.867522784746576292e+01,1.040000000000000000e+02,5.806839999999999691e+02,nan
7.802153667158795258e+01,6.867510353452001937e+01,1.050000000000000000e+02,5.806839999999999691e+02,nan
7.802154662122713091e+01,6.867498324593357495e+01,1.060000000000000000e+02,5.813600000000000136e+02,nan
7.802155842903708560e+01,6.867486693797650332e+01,1.070000000000000000e+02,5.813600000000000136e+02,nan
7.802157031963979250e+01,6.867475080949249389e+01,1.080000000000000000e+02,5.813600000000000136e+02,nan
7.802158222863558024e+01,6.867463472460818252e+01,1.090000000000000000e+02,5.820359999999999445e+02,nan
7.802159612961376922e+01,6.867452400265304391e+01,1.100000000000000000e+02,5.820359999999999445e+02,nan
7.802161151072044731e+01,6.867441859779839319e+01,1.110000000000000000e+02,5.827119999999999891e+02,nan
7.802163086180104301e+01,6.867432872018912349e+01,1.120000000000000000e+02,5.827119999999999891e+02,nan
7.802164996035980948e+01,6.867423760227082141e+01,1.130000000000000000e+02,5.827119999999999891e+02,nan
7.802166820132211456e+01,6.867414280864961995e+01,1.140000000000000000e+02,5.833879999999999200e+02,nan
7.802168466120046730e+01,6.867404045775060695e+01,1.150000000000000000e+02,5.833879999999999200e+02,nan
7.802170254594665266e+01,6.867394378840455715e+01,1.160000000000000000e+02,5.840639999999999645e+02,nan
7.802172100761437434e+01,6.867384993515879898e+01,1.170000000000000000e+02,5.840639999999999645e+02,nan
7.802174131216160902e+01,6.867376507747547976e+01,1.180000000000000000e+02,5.840639999999999645e+02,nan
7.802176243858149007e+01,6.867368526958138375e+01,1.190000000000000000e+02,5.840639999999999645e+02,nan
7.802178439265247789e+01,6.867361054698103828e+01,1.200000000000000000e+02,5.847400000000000091e+02,nan
7.802180438752624525e+01,6.867352430958801790e+01,1.210000000000000000e+02,5.847400000000000091e+02,nan
7.802182390482212782e+01,6.867343526843218626e+01,1.220000000000000000e+02,5.847400000000000091e+02,nan
7.802184340341226232e+01,6.867334613202014282e+01,1.230000000000000000e+02,5.854159999999999400e+02,nan
7.802186443318103670e+01,6.867326636473612211e+01,1.240000000000000000e+02,5.854159999999999400e+02,nan
7.802188669699359025e+01,6.867319428715893537e+01,1.250000000000000000e+02,5.854159999999999400e+02,nan
7.802190472182770975e+01,6.867309822184186885e+01,1.260000000000000000e+02,5.854159999999999400e+02,nan
7.802192285640552427e+01,6.867300264072966343e+01,1.270000000000000000e+02,5.854159999999999400e+02,nan
7.802194114807146264e+01,6.867290775271267478e+01,1.280000000000000000e+02,5.860919999999999845e+02,nan
7.802196214672422059e+01,6.867282701998406935e+01,1.290000000000000000e+02,5.860919999999999845e+02,nan
7.802198212040764247e+01,6.867274096253146354e+01,1.300000000000000000e+02,5.860919999999999845e+02,nan
7.802200029721096541e+01,6.867264556325798708e+01,1.310000000000000000e+02,5.867680000000000291e+02,nan
