# lat,lon,tnum,Layer_1_depth,Layer_2_depth,Layer_3_depth,Layer_4_depth,Layer_5_depth,Layer_6_depth,Layer_7_depth,Layer_8_depth,Layer_9_depth
7.807155821739542034e+01,6.826184917470079938e+01,2.700000000000000000e+01,6.533539999999999281e+02,4.164159999999999968e+02,3.339439999999999600e+02,2.558659999999999854e+02,1.831959999999999980e+02,1.243840000000000003e+02,9.125999999999999091e+01,4.664400000000000546e+01,nan
7.807153844508397356e+01,6.826193720071923110e+01,2.800000000000000000e+01,6.533539999999999281e+02,4.164159999999999968e+02,3.342819999999999823e+02,2.562040000000000077e+02,1.831959999999999980e+02,1.240459999999999923e+02,9.125999999999999091e+01,4.664400000000000546e+01,nan
7.807151832133394009e+01,6.826202335157331902e+01,2.900000000000000000e+01,6.536920000000000073e+02,4.164159999999999968e+02,3.342819999999999823e+02,2.562040000000000077e+02,1.835339999999999918e+02,1.240459999999999923e+02,9.125999999999999091e+01,4.664400000000000546e+01,nan
7.807149957939024887e+01,6.826211598763474342e+01,3.000000000000000000e+01,6.533539999999999281e+02,4.164159999999999968e+02,3.342819999999999823e+02,2.562040000000000077e+02,1.835339999999999918e+02,1.240459999999999923e+02,9.125999999999999091e+01,4.664400000000000546e+01,nan
7.807148229420886310e+01,6.826221555840822930e+01,3.100000000000000000e+01,6.533539999999999281e+02,4.164159999999999968e+02,3.342819999999999823e+02,2.565419999999999732e+02,1.835339999999999918e+02,1.240459999999999923e+02,9.125999999999999091e+01,4.664400000000000546e+01,nan
7.807146284768242595e+01,6.826230493147228628e+01,3.200000000000000000e+01,6.533539999999999281e+02,4.164159999999999968e+02,3.342819999999999823e+02,2.565419999999999732e+02,1.835339999999999918e+02,1.240459999999999923e+02,9.092199999999999704e+01,4.664400000000000546e+01,nan
7.807144438669092779e+01,6.826239801391152184e+01,3.300000000000000000e+01,6.533539999999999281e+02,4.164159999999999968e+02,3.329300000000000068e+02,2.562040000000000077e+02,1.831959999999999980e+02,1.243840000000000003e+02,9.092199999999999704e+01,4.664400000000000546e+01,nan
7.807142899522828827e+01,6.826250455395508254e+01,3.400000000000000000e+01,6.533539999999999281e+02,4.184439999999999600e+02,3.329300000000000068e+02,2.562040000000000077e+02,1.831959999999999980e+02,1.243840000000000003e+02,9.092199999999999704e+01,4.664400000000000546e+01,nan
7.807141398971943147e+01,6.826261219757762433e+01,3.500000000000000000e+01,6.533539999999999281e+02,4.184439999999999600e+02,3.329300000000000068e+02,2.562040000000000077e+02,1.831959999999999980e+02,1.243840000000000003e+02,9.092199999999999704e+01,4.664400000000000546e+01,nan
7.807139493415563436e+01,6.826270317733680315e+01,3.600000000000000000e+01,6.533539999999999281e+02,4.181060000000000514e+02,3.332679999999999723e+02,2.562040000000000077e+02,1.831959999999999980e+02,1.243840000000000003e+02,9.092199999999999704e+01,4.664400000000000546e+01,nan
7.807137732984480749e+01,6.826280116141809629e+01,3.700000000000000000e+01,6.533539999999999281e+02,4.170919999999999845e+02,3.329300000000000068e+02,2.562040000000000077e+02,1.831959999999999980e+02,1.243840000000000003e+02,9.092199999999999704e+01,4.664400000000000546e+01,nan
7.807136217377185972e+01,6.826290853150185001e+01,3.800000000000000000e+01,6.533539999999999281e+02,4.174300000000000637e+02,3.342819999999999823e+02,2.562040000000000077e+02,1.831959999999999980e+02,1.247219999999999942e+02,9.125999999999999091e+01,4.698200000000000642e+01,nan
7.807134665416353414e+01,6.826301463428514182e+01,3.900000000000000000e+01,6.533539999999999281e+02,4.187820000000000391e+02,3.342819999999999823e+02,2.562040000000000077e+02,1.831959999999999980e+02,1.243840000000000003e+02,9.159799999999999898e+01,4.698200000000000642e+01,nan
7.807133065409402661e+01,6.826311911165164759e+01,4.000000000000000000e+01,6.533539999999999281e+02,4.184439999999999600e+02,3.346200000000000045e+02,2.562040000000000077e+02,1.831959999999999980e+02,1.243840000000000003e+02,9.193599999999999284e+01,4.698200000000000642e+01,nan
7.807131582596177566e+01,6.826322750277735452e+01,4.100000000000000000e+01,6.533539999999999281e+02,4.184439999999999600e+02,3.346200000000000045e+02,2.562040000000000077e+02,1.831959999999999980e+02,1.243840000000000003e+02,9.193599999999999284e+01,4.698200000000000642e+01,nan
7.807130095639881517e+01,6.826333581423180874e+01,4.200000000000000000e+01,6.533539999999999281e+02,4.187820000000000391e+02,3.346200000000000045e+02,2.585699999999999932e+02,1.828580000000000041e+02,1.243840000000000003e+02,9.193599999999999284e+01,4.698200000000000642e+01,nan
7.807128459305918966e+01,6.826343895096935910e+01,4.300000000000000000e+01,6.533539999999999281e+02,4.187820000000000391e+02,3.346200000000000045e+02,2.585699999999999932e+02,1.828580000000000041e+02,1.243840000000000003e+02,9.227400000000000091e+01,4.698200000000000642e+01,nan
7.807126930445934931e+01,6.826354588160342018e+01,4.400000000000000000e+01,6.533539999999999281e+02,4.164159999999999968e+02,3.346200000000000045e+02,2.585699999999999932e+02,1.831959999999999980e+02,1.243840000000000003e+02,9.193599999999999284e+01,4.698200000000000642e+01,nan
7.807125415790592626e+01,6.826365328846442537e+01,4.500000000000000000e+01,6.533539999999999281e+02,4.164159999999999968e+02,3.346200000000000045e+02,2.585699999999999932e+02,1.838719999999999857e+02,1.243840000000000003e+02,9.193599999999999284e+01,4.698200000000000642e+01,nan
7.807123817380784203e+01,6.826375774116691275e+01,4.600000000000000000e+01,6.533539999999999281e+02,4.164159999999999968e+02,3.346200000000000045e+02,2.589080000000000155e+02,1.838719999999999857e+02,1.243840000000000003e+02,9.159799999999999898e+01,4.698200000000000642e+01,nan
