# lat,lon,tnum,Layer_1_depth,Layer_2_depth,Layer_3_depth,Layer_4_depth,Layer_5_depth,Layer_6_depth
7.804491367419724668e+01,6.847874394888259530e+01,8.600000000000000000e+01,8.267479999999999336e+02,5.198439999999999372e+02,3.190720000000000027e+02,1.791399999999999864e+02,5.205199999999999960e+01,nan
7.804490139609391974e+01,6.847885932588552294e+01,8.700000000000000000e+01,8.267479999999999336e+02,5.198439999999999372e+02,3.190720000000000027e+02,1.784639999999999986e+02,5.205199999999999960e+01,nan
7.804488354012868001e+01,6.847895382641553397e+01,8.800000000000000000e+01,8.267479999999999336e+02,5.198439999999999372e+02,3.190720000000000027e+02,1.784639999999999986e+02,5.205199999999999960e+01,nan
7.804486420208161235e+01,6.847904365557766937e+01,8.900000000000000000e+01,8.267479999999999336e+02,5.198439999999999372e+02,3.190720000000000027e+02,1.784639999999999986e+02,5.272799999999999443e+01,nan
7.804484615387785595e+01,6.847913980021449731e+01,9.000000000000000000e+01,8.267479999999999336e+02,5.198439999999999372e+02,3.204239999999999782e+02,1.784639999999999986e+02,5.272799999999999443e+01,nan
7.804482827447752413e+01,6.847923666806354959e+01,9.100000000000000000e+01,8.267479999999999336e+02,5.198439999999999372e+02,3.210999999999999659e+02,1.784639999999999986e+02,5.205199999999999960e+01,nan
7.804481062921010448e+01,6.847933453901887901e+01,9.200000000000000000e+01,8.267479999999999336e+02,5.198439999999999372e+02,3.210999999999999659e+02,1.784639999999999986e+02,5.205199999999999960e+01,nan
7.804479318664584753e+01,6.847943325148848714e+01,9.300000000000000000e+01,8.267479999999999336e+02,5.198439999999999372e+02,3.210999999999999659e+02,1.784639999999999986e+02,5.205199999999999960e+01,nan
7.804477539641598582e+01,6.847953036265229798e+01,9.400000000000000000e+01,8.267479999999999336e+02,5.198439999999999372e+02,3.210999999999999659e+02,1.784639999999999986e+02,5.205199999999999960e+01,nan
7.804475587124525759e+01,6.847961953174404925e+01,9.500000000000000000e+01,8.267479999999999336e+02,5.198439999999999372e+02,3.210999999999999659e+02,1.784639999999999986e+02,5.205199999999999960e+01,nan
7.804473984379114881e+01,6.847972321441335453e+01,9.600000000000000000e+01,8.260720000000000027e+02,5.191680000000000064e+02,3.217760000000000105e+02,1.784639999999999986e+02,5.205199999999999960e+01,nan
7.804472340509595085e+01,6.847982522493583701e+01,9.700000000000000000e+01,8.260720000000000027e+02,5.191680000000000064e+02,3.190720000000000027e+02,1.784639999999999986e+02,5.205199999999999960e+01,nan
7.804470401873258822e+01,6.847991509628698736e+01,9.800000000000000000e+01,8.260720000000000027e+02,5.191680000000000064e+02,3.190720000000000027e+02,1.784639999999999986e+02,5.205199999999999960e+01,nan
7.804468659941646536e+01,6.848001378703263242e+01,9.900000000000000000e+01,8.260720000000000027e+02,5.191680000000000064e+02,3.197479999999999905e+02,1.784639999999999986e+02,5.205199999999999960e+01,nan
7.804466903700829050e+01,6.848011189585373870e+01,1.000000000000000000e+02,8.260720000000000027e+02,5.205199999999999818e+02,3.197479999999999905e+02,1.791399999999999864e+02,5.205199999999999960e+01,nan
7.804465026635583058e+01,6.848020476118693978e+01,1.010000000000000000e+02,8.260720000000000027e+02,5.218719999999999573e+02,3.197479999999999905e+02,1.791399999999999864e+02,5.205199999999999960e+01,nan
7.804462970192493287e+01,6.848028795073976482e+01,1.020000000000000000e+02,8.260720000000000027e+02,5.218719999999999573e+02,3.204239999999999782e+02,1.791399999999999864e+02,5.205199999999999960e+01,nan
7.804460916935157400e+01,6.848037128309820787e+01,1.030000000000000000e+02,8.260720000000000027e+02,5.218719999999999573e+02,3.210999999999999659e+02,1.791399999999999864e+02,5.205199999999999960e+01,nan
7.804459055265994039e+01,6.848046486700512503e+01,1.040000000000000000e+02,8.260720000000000027e+02,5.191680000000000064e+02,3.210999999999999659e+02,1.791399999999999864e+02,5.205199999999999960e+01,nan
